hex,red,blue,green,darkness
#d90909,217,9,9,1
#006e24,0,110,36,1
#010700,1,7,0,1
#011019,1,16,25,1
#011226,1,18,38,1
#01151c,1,21,28,1
#01b101,1,177,1,1
#022554,2,37,84,1
#0237ad,2,55,173,1
#023803,2,56,3,1
#02a005,2,160,5,1
#02be4e,2,190,78,0
#02e201,2,226,1,1
#03082d,3,8,45,1
#031942,3,25,66,1
#033258,3,50,88,1
#0334c2,3,52,194,1
#03c3a7,3,195,167,0
#0456ae,4,86,174,1
#045da0,4,93,160,1
#0461f7,4,97,247,1
#04747a,4,116,122,1
#057cef,5,124,239,0
#05aaef,5,170,239,0
#05b206,5,178,6,1
#0613ea,6,19,234,1
#0625b3,6,37,179,1
#0648cc,6,72,204,1
#066f24,6,111,36,1
#06cad8,6,202,216,0
#06ea7f,6,234,127,0
#073f6c,7,63,108,1
#075818,7,88,24,1
#081316,8,19,22,1
#088e53,8,142,83,0
#08bdf1,8,189,241,0
#09322d,9,50,45,1
#094866,9,72,102,1
#10389b,16,56,155,1
#104034,16,64,52,1
#106596,16,101,150,1
#107cd1,16,124,209,1
#10f29b,16,242,155,0
#111619,17,22,25,1
#111e7e,17,30,126,1
#11277a,17,39,122,1
#11bbf7,17,187,247,0
#121644,18,22,68,1
#122a69,18,42,105,1
#123b36,18,59,54,1
#12d945,18,217,69,0
#13294f,19,41,79,1
#1353a6,19,83,166,1
#141a3b,20,26,59,1
#14df00,20,223,0,1
#14f603,20,246,3,1
#15457c,21,69,124,1
#160546,22,5,70,1
#163a4c,22,58,76,1
#168abc,22,138,188,0
#168ebc,22,142,188,1
#172335,23,35,53,1
#17253d,23,37,61,1
#172b42,23,43,66,1
#17ccdf,23,204,223,0
#181025,24,16,37,1
#183087,24,48,135,1
#18547f,24,84,127,1
#18b16b,24,177,107,0
#18baf4,24,186,244,0
#198efc,25,142,252,0
#1a2f35,26,47,53,1
#1a303d,26,48,61,1
#1a5f19,26,95,25,1
#1a5f1b,26,95,27,1
#1ad719,26,215,25,0
#1b6a5f,27,106,95,1
#1b6e9b,27,110,155,1
#1c1c3d,28,28,61,1
#1c2028,28,32,40,1
#1c517f,28,81,127,1
#1c72d0,28,114,208,1
#1ca06b,28,160,107,0
#1cda9a,28,218,154,0
#1dcad2,29,202,210,0
#1df763,29,247,99,0
#1e2821,30,40,33,1
#1f7a0f,31,122,15,1
#1f8068,31,128,104,1
#1f92f7,31,146,247,0
#1fd70f,31,215,15,1
#1ff4a6,31,244,166,0
#1ff81d,31,248,29,0
#202b7f,32,43,127,1
#203d63,32,61,99,1
#204e3d,32,78,61,1
#205f8a,32,95,138,1
#207c6a,32,124,106,1
#208db5,32,141,181,0
#20a9da,32,169,218,0
#20ab7c,32,171,124,0
#20d8ba,32,216,186,0
#213b4f,33,59,79,1
#21bd69,33,189,105,0
#22117f,34,17,127,1
#2223ec,34,35,236,1
#232b25,35,43,37,1
#233a72,35,58,114,1
#23975a,35,151,90,0
#239d55,35,157,85,1
#23fa12,35,250,18,0
#246196,36,97,150,1
#2491ff,36,145,255,0
#249494,36,148,148,1
#249515,36,149,21,1
#24a124,36,161,36,0
#24d973,36,217,115,0
#255f8b,37,95,139,1
#25a1ce,37,161,206,0
#25dd87,37,221,135,0
#26706c,38,112,108,1
#26c681,38,198,129,0
#26dd24,38,221,36,0
#27b7f4,39,183,244,0
#28a96a,40,169,106,0
#2934f8,41,52,248,1
#29eac7,41,234,199,0
#2a3987,42,57,135,1
#2a585c,42,88,92,1
#2a9402,42,148,2,0
#2aef35,42,239,53,0
#2b3a6d,43,58,109,1
#2b988e,43,152,142,0
#2c1b45,44,27,69,1
#2ccadc,44,202,220,0
#2cf2eb,44,242,235,0
#2d9cfc,45,156,252,0
#2e5154,46,81,84,1
#2e63e9,46,99,233,1
#2e6eb2,46,110,178,1
#2f385d,47,56,93,1
#2f6e9e,47,110,158,1
#303c42,48,60,66,1
#3055b2,48,85,178,1
#3067fd,48,103,253,1
#30ccd7,48,204,215,0
#3108c0,49,8,192,1
#3151c1,49,81,193,1
#3157c0,49,87,192,1
#31a453,49,164,83,0
#31c8c5,49,200,197,0
#324027,50,64,39,1
#326d4f,50,109,79,1
#328094,50,128,148,1
#329ea6,50,158,166,0
#32c131,50,193,49,0
#337502,51,117,2,1
#33ba93,51,186,147,0
#343665,52,54,101,1
#343fb3,52,63,179,1
#346d97,52,109,151,1
#350551,53,5,81,1
#353159,53,49,89,1
#35d38c,53,211,140,0
#363c7e,54,60,126,1
#369d7e,54,157,126,0
#37409b,55,64,155,1
#37b0ce,55,176,206,0
#37babd,55,186,189,0
#3808be,56,8,190,1
#3847f7,56,71,247,1
#39ef45,57,239,69,0
#3b6973,59,105,115,1
#3c057c,60,5,124,1
#3c1386,60,19,134,1
#3c7fa8,60,127,168,0
#3cd9f3,60,217,243,0
#3d5660,61,86,96,1
#3d5a72,61,90,114,1
#3d61f4,61,97,244,0
#3df609,61,246,9,0
#3e4af9,62,74,249,1
#3e4e5b,62,78,91,1
#3ea5c4,62,165,196,0
#3ed158,62,209,88,0
#3ed2d1,62,210,209,0
#3f3b3a,63,59,58,1
#3f981d,63,152,29,0
#3fe3b3,63,227,179,0
#402666,64,38,102,1
#402faf,64,47,175,1
#406b5b,64,107,91,1
#40b6f1,64,182,241,0
#40bffb,64,191,251,0
#40eac0,64,234,192,0
#412b8c,65,43,140,1
#416261,65,98,97,1
#41addb,65,173,219,0
#41d519,65,213,25,0
#422398,66,35,152,1
#42443a,66,68,58,1
#436ce8,67,108,232,1
#4381f6,67,129,246,0
#4388ad,67,136,173,1
#43fa05,67,250,5,0
#443d35,68,61,53,1
#446489,68,100,137,1
#447345,68,115,69,1
#447f71,68,127,113,1
#456425,69,100,37,1
#45bb66,69,187,102,0
#463c8c,70,60,140,1
#47474d,71,71,77,1
#47c24c,71,194,76,0
#4883a5,72,131,165,0
#48b759,72,183,89,0
#4951c1,73,81,193,1
#4a03d9,74,3,217,1
#4a88c2,74,136,194,1
#4ad6cf,74,214,207,0
#4b4a77,75,74,119,1
#4b87ae,75,135,174,0
#4c0550,76,5,80,1
#4c200a,76,32,10,1
#4c4952,76,73,82,1
#4c5f46,76,95,70,1
#4c7b96,76,123,150,0
#4c9828,76,152,40,0
#4cdd55,76,221,85,0
#4cf728,76,247,40,0
#4cfcf9,76,252,249,0
#4d172f,77,23,47,1
#4d2158,77,33,88,1
#4e390d,78,57,13,1
#4ed4ca,78,212,202,0
#4f7874,79,120,116,1
#4f971d,79,151,29,0
#4fb0dd,79,176,221,0
#4fb32a,79,179,42,0
#50ebce,80,235,206,0
#50fbd1,80,251,209,0
#511654,81,22,84,1
#511670,81,22,112,1
#514137,81,65,55,1
#5146ea,81,70,234,1
#522090,82,32,144,1
#52edf6,82,237,246,0
#52f5f2,82,245,242,0
#532292,83,34,146,1
#5380d9,83,128,217,1
#53c11d,83,193,29,0
#547697,84,118,151,1
#55f007,85,240,7,0
#566ccf,86,108,207,1
#5681a0,86,129,160,0
#56c64e,86,198,78,0
#571734,87,23,52,1
#578762,87,135,98,1
#57a1c1,87,161,193,0
#585e89,88,94,137,1
#5868aa,88,104,170,1
#5891c4,88,145,196,0
#58ba08,88,186,8,1
#59091a,89,9,26,1
#5973ed,89,115,237,1
#59a0e9,89,160,233,0
#5ac9e8,90,201,232,0
#5b1bf8,91,27,248,1
#5b6862,91,104,98,1
#5bdf90,91,223,144,0
#5c1b09,92,27,9,1
#5cf6e4,92,246,228,0
#5f8313,95,131,19,0
#5f8d7f,95,141,127,0
#604e39,96,78,57,1
#608c25,96,140,37,0
#609f4e,96,159,78,0
#61025f,97,2,95,1
#613804,97,56,4,1
#617075,97,112,117,0
#61af9b,97,175,155,0
#624034,98,64,52,1
#62484d,98,72,77,1
#6320e5,99,32,229,1
#633505,99,53,5,1
#6336b5,99,54,181,1
#63884e,99,136,78,0
#64adb7,100,173,183,0
#654394,101,67,148,1
#65cffe,101,207,254,0
#665a5c,102,90,92,1
#676c1b,103,108,27,1
#67a95e,103,169,94,0
#68b63d,104,182,61,0
#68d94f,104,217,79,0
#68e6de,104,230,222,0
#68f255,104,242,85,0
#694d48,105,77,72,1
#699e24,105,158,36,0
#6a4324,106,67,36,1
#6a682f,106,104,47,1
#6a757f,106,117,127,1
#6a8b26,106,139,38,1
#6aad55,106,173,85,0
#6ab4d8,106,180,216,0
#6af106,106,241,6,0
#6b8326,107,131,38,0
#6bc9a1,107,201,161,0
#6be8b9,107,232,185,0
#6ca446,108,164,70,0
#6ccf5b,108,207,91,0
#6eeb4f,110,235,79,0
#6f3044,111,48,68,1
#6fa888,111,168,136,0
#70dd0c,112,221,12,1
#7101fa,113,1,250,1
#715c20,113,92,32,1
#71af8b,113,175,139,0
#71cda3,113,205,163,0
#71d6f1,113,214,241,0
#726fe1,114,111,225,1
#72bfbd,114,191,189,0
#72e8ac,114,232,172,0
#72eb47,114,235,71,0
#736c1e,115,108,30,1
#73886c,115,136,108,0
#73a3bb,115,163,187,0
#7445dc,116,69,220,1
#74c02a,116,192,42,0
#753956,117,57,86,1
#7539e2,117,57,226,1
#75ccd0,117,204,208,0
#76183a,118,24,58,1
#761c74,118,28,116,1
#7645e1,118,69,225,1
#7690bf,118,144,191,0
#76b9f7,118,185,247,0
#76dd15,118,221,21,0
#77c56c,119,197,108,0
#77eb5a,119,235,90,0
#78bfa5,120,191,165,0
#78e906,120,233,6,1
#79464d,121,70,77,1
#7a24e1,122,36,225,1
#7a5765,122,87,101,1
#7aabbb,122,171,187,0
#7af97c,122,249,124,0
#7afbca,122,251,202,0
#7b4537,123,69,55,1
#7b9ded,123,157,237,0
#7b9e04,123,158,4,0
#7bfa7e,123,250,126,0
#7c1184,124,17,132,1
#7c5013,124,80,19,1
#7ca0bc,124,160,188,0
#7ca4d7,124,164,215,0
#7caf9f,124,175,159,0
#7cb1ea,124,177,234,0
#7d805e,125,128,94,0
#7e500d,126,80,13,1
#7f132c,127,19,44,1
#7f367d,127,54,125,1
#7f3d64,127,61,100,1
#7f4da1,127,77,161,1
#808025,128,128,37,0
#80bd01,128,189,1,1
#81b786,129,183,134,0
#81bfda,129,191,218,0
#8209d4,130,9,212,1
#827078,130,112,120,1
#82aff1,130,175,241,0
#82d593,130,213,147,0
#82ea20,130,234,32,0
#83913a,131,145,58,0
#83bbbf,131,187,191,0
#83c78d,131,199,141,0
#83dbd6,131,219,214,0
#848613,132,134,19,1
#852ec0,133,46,192,1
#854746,133,71,70,1
#8570eb,133,112,235,0
#85f9ed,133,249,237,0
#86a1b0,134,161,176,0
#86a592,134,165,146,0
#86cd35,134,205,53,0
#875459,135,84,89,1
#87def0,135,222,240,0
#881061,136,16,97,1
#882220,136,34,32,1
#89acc6,137,172,198,0
#89b10d,137,177,13,1
#89d6cb,137,214,203,0
#89d9ed,137,217,237,0
#8a028d,138,2,141,1
#8a2680,138,38,128,1
#8af1bd,138,241,189,0
#8b1578,139,21,120,1
#8b87e1,139,135,225,0
#8cb567,140,181,103,0
#8cc2ec,140,194,236,0
#8ddfcb,141,223,203,0
#8ea810,142,168,16,0
#8eb507,142,181,7,0
#8eeaf6,142,234,246,0
#8f53a5,143,83,165,1
#8fa538,143,165,56,0
#9078af,144,120,175,0
#909aaf,144,154,175,0
#90d644,144,214,68,0
#91afe2,145,175,226,0
#91b74f,145,183,79,0
#91bfa4,145,191,164,0
#92533a,146,83,58,1
#9265af,146,101,175,0
#927c7d,146,124,125,0
#927f85,146,127,133,0
#92daf4,146,218,244,0
#93a730,147,167,48,0
#941c5e,148,28,94,1
#945a2f,148,90,47,1
#946542,148,101,66,1
#94eccb,148,236,203,0
#95e682,149,230,130,0
#96e928,150,233,40,0
#96f7cb,150,247,203,0
#9763d4,151,99,212,1
#97c40d,151,196,13,1
#98ceca,152,206,202,0
#99a0f0,153,160,240,0
#99b85a,153,184,90,0
#99fdb1,153,253,177,0
#9ab727,154,183,39,0
#9bbd47,155,189,71,0
#9c5a3e,156,90,62,1
#9d26ed,157,38,237,1
#9d2b78,157,43,120,1
#9d9a2f,157,154,47,0
#9dd50f,157,213,15,0
#9ea916,158,169,22,0
#9f9746,159,151,70,0
#a0f1d8,160,241,216,0
#a1eaa4,161,234,164,0
#a2110e,162,17,14,1
#a23188,162,49,136,1
#a2b29c,162,178,156,0
#a2e769,162,231,105,0
#a34483,163,68,131,1
#a358a2,163,88,162,1
#a36060,163,96,96,0
#a37e06,163,126,6,1
#a3923d,163,146,61,0
#a430f0,164,48,240,1
#a43b4d,164,59,77,1
#a4f571,164,245,113,0
#a51432,165,20,50,1
#a53e98,165,62,152,1
#a57cdb,165,124,219,0
#a5c7e2,165,199,226,0
#a5d5c9,165,213,201,0
#a6018a,166,1,138,1
#a63154,166,49,84,1
#a667a5,166,103,165,1
#a669bd,166,105,189,1
#a6a22e,166,162,46,0
#a732a4,167,50,164,1
#a73e43,167,62,67,1
#a7bfa0,167,191,160,0
#a7cea7,167,206,167,0
#a81f43,168,31,67,1
#a81f96,168,31,150,1
#a82650,168,38,80,1
#a85900,168,89,0,1
#a89e09,168,158,9,1
#a8da0e,168,218,14,1
#a8edaf,168,237,175,0
#a9de1a,169,222,26,0
#aaf28a,170,242,138,0
#ab1d5e,171,29,94,1
#ab8e7d,171,142,125,0
#abaf21,171,175,33,0
#abf9a8,171,249,168,0
#ac3b56,172,59,86,1
#ac50a6,172,80,166,1
#acd9e2,172,217,226,0
#add307,173,211,7,1
#adf1a7,173,241,167,0
#ae512f,174,81,47,1
#ae9093,174,144,147,0
#aeaab2,174,170,178,0
#aebc82,174,188,130,0
#aed8ad,174,216,173,0
#aedef9,174,222,249,0
#af8380,175,131,128,0
#b021a2,176,33,162,1
#b04300,176,67,0,1
#b06536,176,101,54,1
#b0b288,176,178,136,0
#b0d9e9,176,217,233,0
#b11906,177,25,6,1
#b1748a,177,116,138,0
#b1910e,177,145,14,1
#b24e3a,178,78,58,1
#b25303,178,83,3,1
#b26788,178,103,136,0
#b2a819,178,168,25,0
#b2f024,178,240,36,0
#b46391,180,99,145,1
#b594a5,181,148,165,0
#b5c8c8,181,200,200,0
#b5f7d8,181,247,216,0
#b5fe59,181,254,89,0
#b6e3b1,182,227,177,0
#b74985,183,73,133,1
#b7a0f6,183,160,246,0
#b86124,184,97,36,1
#b87bd0,184,123,208,0
#b8e6dd,184,230,221,0
#b8fc28,184,252,40,0
#b91521,185,21,33,1
#b9bfa6,185,191,166,0
#b9cb25,185,203,37,0
#b9d122,185,209,34,0
#ba3036,186,48,54,1
#ba3e99,186,62,153,1
#ba4145,186,65,69,1
#ba4fdd,186,79,221,0
#bac323,186,195,35,0
#bba7c7,187,167,199,0
#bc7606,188,118,6,0
#bca975,188,169,117,0
#bce467,188,228,103,0
#bd4ef1,189,78,241,0
#bdc450,189,196,80,0
#bdea4f,189,234,79,0
#bdf9f4,189,249,244,0
#be4551,190,69,81,1
#beeb08,190,235,8,0
#bf7647,191,118,71,0
#c070d3,192,112,211,0
#c0a124,192,161,36,0
#c0cfd6,192,207,214,0
#c113d7,193,19,215,1
#c1ac17,193,172,23,0
#c1c4f0,193,196,240,0
#c1f2ef,193,242,239,0
#c1f2ef,193,242,239,0
#c20404,194,4,4,1
#c2040f,194,4,15,1
#c31cc1,195,28,193,1
#c43591,196,53,145,1
#c45ca6,196,92,166,0
#c57d3f,197,125,63,0
#c5be8f,197,190,143,0
#c613a6,198,19,166,1
#c68a54,198,138,84,0
#c69a9b,198,154,155,0
#c6cf93,198,207,147,0
#c6e34a,198,227,74,0
#c6fa5a,198,250,90,0
#c7206b,199,32,107,1
#c76b0e,199,107,14,1
#c7941f,199,148,31,0
#c7ed0d,199,237,13,1
#c86042,200,96,66,0
#c8ed03,200,237,3,1
#c8ed4d,200,237,77,0
#c95b27,201,91,39,1
#c96258,201,98,88,0
#c97d75,201,125,117,0
#c9b8e1,201,184,225,0
#c9e13b,201,225,59,0
#ca6d80,202,109,128,0
#cac8ce,202,200,206,0
#cb0300,203,3,0,1
#cb040c,203,4,12,1
#cb1dbb,203,29,187,1
#cb7e52,203,126,82,0
#cc5b63,204,91,99,0
#ccb66a,204,182,106,0
#cce11c,204,225,28,0
#cd4481,205,68,129,0
#cd6b6c,205,107,108,0
#ce57e1,206,87,225,1
#ce700e,206,112,14,1
#ce8a20,206,138,32,0
#cee56f,206,229,111,0
#cfbc07,207,188,7,0
#d02d14,208,45,20,1
#d03abc,208,58,188,1
#d0453d,208,69,61,1
#d07f10,208,127,16,0
#d0d24c,208,210,76,0
#d117c4,209,23,196,0
#d1e3b2,209,227,178,0
#d2348b,210,52,139,1
#d31501,211,21,1,1
#d3723f,211,114,63,0
#d412a7,212,18,167,1
#d4dc2f,212,220,47,0
#d527c0,213,39,192,0
#d611c7,214,17,199,0
#d614bc,214,20,188,1
#d63a5a,214,58,90,1
#d66e7a,214,110,122,0
#d6b9f9,214,185,249,0
#d71f15,215,31,21,1
#d72cc6,215,44,198,0
#d7c0eb,215,192,235,0
#d7ec22,215,236,34,0
#d83189,216,49,137,0
#d8acd4,216,172,212,0
#d8f278,216,242,120,0
#d9020c,217,2,12,1
#d921a6,217,33,166,1
#d9ae07,217,174,7,0
#d9d227,217,210,39,0
#da04f9,218,4,249,0
#da181b,218,24,27,1
#da4cbf,218,76,191,0
#daae93,218,174,147,0
#db184b,219,24,75,1
#db1f6b,219,31,107,1
#db6208,219,98,8,0
#db6a5b,219,106,91,0
#dc2bd7,220,43,215,0
#dc8c69,220,140,105,0
#dd43c3,221,67,195,0
#dd9d7f,221,157,127,0
#dfc604,223,198,4,0
#dfcfac,223,207,172,0
#dfd0db,223,208,219,0
#e089b5,224,137,181,0
#e0a5db,224,165,219,0
#e0d0df,224,208,223,0
#e0db90,224,219,144,0
#e13933,225,57,51,1
#e1ba6f,225,186,111,0
#e1bbe9,225,187,233,0
#e1dd7b,225,221,123,0
#e20809,226,8,9,1
#e2630d,226,99,13,1
#e28e32,226,142,50,0
#e2c40f,226,196,15,1
#e3efe8,227,239,232,0
#e4dd2d,228,221,45,0
#e4dfd3,228,223,211,0
#e5570f,229,87,15,1
#e65180,230,81,128,0
#e6ade5,230,173,229,0
#e7c35a,231,195,90,0
#e7ce82,231,206,130,0
#e80784,232,7,132,0
#e81965,232,25,101,1
#e84e23,232,78,35,1
#e85e00,232,94,0,0
#e8e535,232,229,53,0
#eab9e2,234,185,226,0
#eb2d9f,235,45,159,0
#eb395c,235,57,92,1
#eb6250,235,98,80,0
#eb9d07,235,157,7,0
#ebb0aa,235,176,170,0
#ebff09,235,255,9,0
#ed20e2,237,32,226,1
#ed4a72,237,74,114,0
#eda9ab,237,169,171,0
#ee3896,238,56,150,0
#eec2d0,238,194,208,0
#ef48c1,239,72,193,1
#ef4b45,239,75,69,0
#efbb5e,239,187,94,0
#f15f64,241,95,100,0
#f1b40e,241,180,14,1
#f1c7a3,241,199,163,0
#f2110b,242,17,11,1
#f21edd,242,30,221,0
#f238fd,242,56,253,0
#f27f41,242,127,65,0
#f2b631,242,182,49,0
#f2c371,242,195,113,0
#f2c9ae,242,201,174,0
#f326f6,243,38,246,1
#f36889,243,104,137,0
#f3f96c,243,249,108,0
#f46973,244,105,115,0
#f469f4,244,105,244,0
#f5486e,245,72,110,1
#f59b88,245,155,136,0
#f5a9fe,245,169,254,0
#f5cd09,245,205,9,0
#f61ecb,246,30,203,0
#f652b6,246,82,182,1
#f66970,246,105,112,0
#f6b21b,246,178,27,0
#f6b4c5,246,180,197,0
#f7291e,247,41,30,0
#f7e34a,247,227,74,0
#f81ad2,248,26,210,0
#f8c7f0,248,199,240,0
#f8ea45,248,234,69,0
#f9b1ab,249,177,171,0
#f9f1ab,249,241,171,0
#fa5c34,250,92,52,0
#fb6b9f,251,107,159,0
#fbf917,251,249,23,0
#fc21c3,252,33,195,0
#fca0c1,252,160,193,0
#fd4282,253,66,130,1
#fd52c1,253,82,193,0
#fdcdae,253,205,174,0
#fdd749,253,215,73,0
#fe109d,254,16,157,1
#fe5831,254,88,49,0
#fe6a8c,254,106,140,0
#fe7e8b,254,126,139,0
#fece21,254,206,33,0
