hex,red,green,blue,vibrancy
#d90909,217,9,9,1
#000000,0,0,0,0
#000080,0,0,128,1
#000088,0,0,136,1
#000090,0,0,144,1
#000099,0,0,153,1
#0000a8,0,0,168,1
#0000d3,0,0,211,1
#0000e6,0,0,230,1
#0000ff,0,0,255,1
#000fff,0,15,255,1
#00193a,0,25,58,0
#001a57,0,26,87,0
#002050,0,32,80,0
#002054,0,32,84,0
#00205b,0,32,91,0
#0021a5,0,33,165,1
#002451,0,36,81,0
#002561,0,37,97,0
#002635,0,38,53,0
#002663,0,38,99,0
#002855,0,40,85,0
#002b36,0,43,54,0
#002f56,0,47,86,0
#003057,0,48,87,0
#003082,0,48,130,1
#003087,0,48,135,1
#003262,0,50,98,0
#003265,0,50,101,0
#003300,0,51,0,0
#00334e,0,51,78,0
#003366,0,51,102,1
#003369,0,51,105,1
#00337f,0,51,127,1
#00338d,0,51,141,1
#003399,0,51,153,1
#0033a1,0,51,161,1
#0033b3,0,51,179,1
#003466,0,52,102,1
#003468,0,52,104,1
#003552,0,53,82,0
#003580,0,53,128,1
#00363d,0,54,61,0
#003666,0,54,102,1
#0037a6,0,55,166,1
#0037da,0,55,218,1
#00384d,0,56,77,0
#003865,0,56,101,1
#00386b,0,56,107,1
#00387b,0,56,123,1
#00395d,0,57,93,1
#003a70,0,58,112,1
#003b64,0,59,100,1
#003b71,0,59,113,1
#003c71,0,60,113,1
#003da5,0,61,165,1
#003e70,0,62,112,1
#003f69,0,63,105,1
#003f87,0,63,135,1
#004182,0,65,130,1
#00447c,0,68,124,1
#004488,0,68,136,1
#00457c,0,69,124,1
#004851,0,72,81,1
#004883,0,72,131,1
#0048ab,0,72,171,1
#004977,0,73,119,1
#004990,0,73,144,1
#004a77,0,74,119,1
#004b79,0,75,121,1
#004b8d,0,75,141,1
#004b91,0,75,145,1
#004d73,0,77,115,1
#004eaf,0,78,175,1
#005082,0,80,130,1
#005172,0,81,114,1
#005195,0,81,149,1
#005238,0,82,56,1
#005387,0,83,135,1
#00539f,0,83,159,1
#005483,0,84,131,1
#005493,0,84,147,1
#0054a0,0,84,160,1
#0054a4,0,84,164,1
#005500,0,85,0,0
#005599,0,85,153,1
#0055af,0,85,175,1
#005670,0,86,112,1
#005696,0,86,150,1
#0057b8,0,87,184,1
#005888,0,88,136,1
#00598e,0,89,142,1
#005bbb,0,91,187,1
#005be2,0,91,226,1
#005c5f,0,92,95,1
#005cc5,0,92,197,1
#005daa,0,93,170,1
#005eb8,0,94,184,1
#005f86,0,95,134,1
#005f87,0,95,135,1
#005faf,0,95,175,1
#0061d5,0,97,213,1
#00629b,0,98,155,1
#0063bf,0,99,191,1
#0063dc,0,99,220,1
#006400,0,100,0,1
#0064d2,0,100,210,1
#0064e0,0,100,224,1
#006565,0,101,101,1
#006570,0,101,112,1
#006666,0,102,102,1
#006699,0,102,153,1
#0066a1,0,102,161,1
#0066b2,0,102,178,1
#0066ff,0,102,255,1
#0067b3,0,103,179,1
#006837,0,104,55,1
#006b95,0,107,149,1
#006c54,0,108,84,1
#006c68,0,108,104,1
#006dcc,0,109,204,1
#006e96,0,110,150,1
#006fbf,0,111,191,1
#00704a,0,112,74,1
#0071bf,0,113,191,1
#0072cf,0,114,207,1
#007300,0,115,0,1
#0073b5,0,115,181,1
#007400,0,116,0,1
#00745e,0,116,94,1
#0074d9,0,116,217,1
#00758f,0,117,143,1
#0076ba,0,118,186,1
#0076c0,0,118,192,1
#007700,0,119,0,1
#0077b5,0,119,181,1
#0077c0,0,119,192,1
#0077c8,0,119,200,1
#0078d7,0,120,215,1
#0079bf,0,121,191,1
#0079c1,0,121,193,1
#007a72,0,122,114,1
#007ac2,0,122,194,1
#007c41,0,124,65,1
#007c92,0,124,146,1
#007cc0,0,124,192,1
#007cc3,0,124,195,1
#007dc3,0,125,195,1
#007dc6,0,125,198,1
#007ea3,0,126,163,1
#007ee5,0,126,229,1
#007f4e,0,127,78,1
#007faa,0,127,170,1
#007fae,0,127,174,1
#007fbd,0,127,189,1
#007fdb,0,127,219,1
#008000,0,128,0,1
#00800d,0,128,13,1
#008080,0,128,128,1
#0080ff,0,128,255,1
#0081b4,0,129,180,1
#008200,0,130,0,1
#008208,0,130,8,1
#008272,0,130,114,1
#0082c9,0,130,201,1
#0082ca,0,130,202,1
#0082fb,0,130,251,1
#008374,0,131,116,1
#0084ff,0,132,255,1
#00853e,0,133,62,1
#008558,0,133,88,1
#0085ad,0,133,173,1
#0085c3,0,133,195,1
#0086b3,0,134,179,1
#008700,0,135,0,1
#008751,0,135,81,1
#0087af,0,135,175,1
#0087b4,0,135,180,1
#0087be,0,135,190,1
#0087d2,0,135,210,1
#0087ff,0,135,255,1
#0088cc,0,136,204,1
#0088ff,0,136,255,1
#008ace,0,138,206,1
#008b5d,0,139,93,1
#008bcf,0,139,207,1
#008dd1,0,141,209,1
#008e8e,0,142,142,1
#008eaa,0,142,170,1
#008ecf,0,142,207,1
#008fd4,0,143,212,1
#0091cd,0,145,205,1
#0093d0,0,147,208,1
#00948b,0,148,139,1
#00959f,0,149,159,1
#0095c8,0,149,200,1
#0095dd,0,149,221,1
#0096d6,0,150,214,1
#00979d,0,151,157,1
#0097a7,0,151,167,1
#0098db,0,152,219,1
#009900,0,153,0,1
#009999,0,153,153,1
#0099cc,0,153,204,1
#0099e5,0,153,229,1
#0099ff,0,153,255,1
#009a44,0,154,68,1
#009ae7,0,154,231,1
#009bbb,0,155,187,1
#009bff,0,155,255,1
#009ca6,0,156,166,1
#009cd1,0,156,209,1
#009cde,0,156,222,1
#009ddc,0,157,220,1
#009ee3,0,158,227,1
#009f4d,0,159,77,1
#009fe3,0,159,227,1
#00a0af,0,160,175,1
#00a0be,0,160,190,1
#00a0df,0,160,223,1
#00a0e9,0,160,233,1
#00a160,0,161,96,1
#00a1e4,0,161,228,1
#00a1f1,0,161,241,1
#00a2e1,0,162,225,1
#00a3e0,0,163,224,1
#00a3e2,0,163,226,1
#00a480,0,164,128,1
#00a4e4,0,164,228,1
#00a4e8,0,164,232,1
#00a5dc,0,165,220,1
#00a69c,0,166,156,1
#00a6d6,0,166,214,1
#00a6fb,0,166,251,1
#00a78e,0,167,142,1
#00a800,0,168,0,1
#00a8a8,0,168,168,1
#00a8e0,0,168,224,1
#00a950,0,169,80,1
#00a98f,0,169,143,1
#00a9c0,0,169,192,1
#00a9e0,0,169,224,1
#00aaaa,0,170,170,1
#00aabb,0,170,187,1
#00aadc,0,170,220,1
#00aaf2,0,170,242,1
#00aaff,0,170,255,1
#00ab6c,0,171,108,1
#00acc1,0,172,193,1
#00acee,0,172,238,1
#00ad45,0,173,69,1
#00adee,0,173,238,1
#00aee6,0,174,230,1
#00aeef,0,174,239,1
#00aeff,0,174,255,1
#00af3e,0,175,62,1
#00af87,0,175,135,1
#00afaf,0,175,175,1
#00afd8,0,175,216,1
#00afe1,0,175,225,1
#00aff0,0,175,240,1
#00b0ca,0,176,202,1
#00b0df,0,176,223,1
#00b0e8,0,176,232,1
#00b140,0,177,64,1
#00b1c1,0,177,193,1
#00b22d,0,178,45,1
#00b27f,0,178,127,1
#00b2a9,0,178,169,1
#00b388,0,179,136,1
#00b488,0,180,136,1
#00b6e3,0,182,227,1
#00b7c9,0,183,201,1
#00bb00,0,187,0,1
#00bcd4,0,188,212,1
#00bce4,0,188,228,1
#00c16e,0,193,110,1
#00c1b2,0,193,178,1
#00c2e0,0,194,224,1
#00c300,0,195,0,1
#00c4cc,0,196,204,1
#00c4ff,0,196,255,1
#00c6d7,0,198,215,1
#00c7f2,0,199,242,1
#00c918,0,201,24,1
#00cc66,0,204,102,1
#00cc99,0,204,153,1
#00cccc,0,204,204,1
#00d1b2,0,209,178,1
#00d2f3,0,210,243,1
#00d8ff,0,216,255,1
#00d9e9,0,217,233,1
